¹øÈ£,»ç¾÷Àå¸í,¿µ¾÷»óÅÂ¸í,¼ÒÀçÁöÀüÃ¼ÁÖ¼Ò,ÁÂÇ¥Á¤º¸(x),ÁÂÇ¥Á¤º¸(y),lat,lng
212,ÃÊÄÝ·¿ ÈÖÆ®´Ï½º(¹«´ÜÆó¾÷),¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 203-7¹øÁö,208072.486459225,449077.581030635,37.5438759,127.0920996
213,À£ÇÃ·¯½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 663-21¹øÁö,207368.624495222,447632.296040333,37.5308753,127.0841313
214,ÄÚ¿¢½ºÁü Áß°îÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 79-9¹øÁö 5Ãþ,207728.881211899,450600.779786883,37.5575847,127.0881598
215,¹Ùµð ÆÛÆ÷¸Õ½º Áü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 214-6 °­º¯¸®Ä¡Å¸¿ö ÁöÇÏ1Ãþ,208232.225102078,448435.883265128,37.5381442,127.0938982
216,ÃÊÄÝ¸´ ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 164-1¹øÁö 3Ãþ,207198.940018082,451163.701831876,37.5626865,127.0822513
217,°ñµåÇï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 903-12¹øÁö,191320.048882076,438776.690084288,37.4510544,126.9026873
218,±×¸°Çï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 297-1,190600.511302284,441271.030355361,37.4736017,126.8945242
219,½½¸²ÇÑ ¹Ùµð,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 1031-9¹øÁö ¸²½ººôµù ÁöÇÏµ¿ 101È£,190913.510945549,440415.261802396,37.4659623,126.8979524
220,ÇÖÁüÈÖÆ®´Ï½º(HOT GYM),¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 291-1¹øÁö,190694.880295092,440764.426277932,37.4691258,126.8952492
221,°Ç°­À»´ã´Ù season2,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 543-1¹øÁö,189055.138252216,441958.334400683,37.4796508,126.8770822
222,½½¸²ÇÑ¹Ùµð ½ÃÈïÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 904-7¹øÁö ¼­¿ìºôµù,191350.26844017,438593.516237885,37.4494089,126.9030357
223,º®°è¼ö ½ºÆÄ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 140-36¹øÁö B201È£,190183.613319646,441777.324472507,37.4781954,126.8896379
224,»ï¼º³²³àÇï½º¼¾Å¸,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 639-2¹øÁö,206765.266909796,450685.805654444,37.5583698,127.0773061
225,¿µ±¤Çï½ºÇÇ¾Æ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 680-72¹øÁö,207498.69141425,447828.759892068,37.5326168,127.0856126
226,¿ª»çÇï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±ºÀÚµ¿ 349-1¹øÁö,206074.888192014,449910.15184716,37.5514104,127.0695218
227,¸á·ÐÁü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 222-1¹øÁö,207860.05037164,448800.805416287,37.5413823,127.0897116
228,ÆÄ¿öÇï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 173-7¹øÁö,207096.99419824,451624.20026307,37.5668133,127.0810959
229,½ºÆ÷ÇÃ·º½º(°¡»êÁ¡),¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 371-17,189522.336721798,441654.010373182,37.4769739,126.8823128
230,¼¼ºìÁü ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 851-19¹øÁö,205800.186223739,448390.088509972,37.5377041,127.0663858
231,¹ÙµðÆÛÆ÷¸Õ½º Áü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±ºÀÚµ¿ 478-5¹øÁö ÁöÇÏ1Ãþ,206896.697217277,450515.575725945,37.5566812,127.0789171
232,¹Ùµð ÆÛÆ÷¸Õ½º Áü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 201-8 Áø³Ø½º º£¸£µð¿¥ ÁöÇÏ1Ãþ,208318.216397053,448817.091466369,37.5414773,127.0949192
233,ºñÅÍ½ºÀ­ÄÚ¸®¾Æ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 199-18¹øÁö »ï¼º½¦¸£ºô 101µ¿ ÁöÇÏ1Ãþ 114È£(113È£ÀÏºÎ Æ÷ÇÔ),208310.372259506,448631.437594782,37.54001239999999,127.0946811
234,Á¦ÀÌ ÆÛ½º³Î Æ®·¹ÀÌ´× ½ºÆ©µð¿À,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 200-15¹øÁö ÁöÇÏ1Ãþ,208298.14323945,448723.754453358,37.5422441,127.0940963
235,¿ª¹ß»ê¼¾ÅÍ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ È­¾çµ¿ 10-1¹øÁö,206107.775163579,449029.342177779,37.5434818,127.0699485
236,ÈÖÆ®´Ï½ºÇÇÇÃ¿ì¸Õ ±¸ÀÇÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 216-9 ¼¼È­ºôµù 5Ãþµ¿,207444.54897561,448263.89528182,37.5365959,127.0850155
237,±¤¿îÇï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 666-4¹øÁö,207259.900998516,447404.717192681,37.5287987,127.0829031
238,ÁÖ½ÄÈ¸»ç Çï½ºº¸ÀÌÄÄÆÛ´Ï,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 227-7 ÁöÇÏ1Ãþ B100-1È£,206349.675048285,448396.939704285,37.5376127,127.0726183
239,¹ÙµðÄÉ¾îÁü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 244-28¹øÁö ¼®¿øºôµù,209056.405858415,449280.663820868,37.54571079999999,127.1032388
240,ÇÇÆ®´Ï½º ¾Æ·¹³ª,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 445-5 ´ëÇÑÁ¦Áö(ÁÖ) »ç¿Á ÁöÇÏ2Ãþ,209023.362979212,449094.141118988,37.5441231,127.1029302
241,¹ÌÁøÇï½ºÅ©·´,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 837-38¹øÁö,191636.908720079,438913.547879145,37.4523405,126.9062253
242,½ÅÇùÇï½ºÀå,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 178-28¹øÁö,191342.764679558,441076.295774221,37.4717859,126.90291
243,G.XÈÖÆ®´Ï½º¼¾ÅÍ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 993-3,191154.97129309,438979.341350672,37.4528969,126.9008362
244,JMÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 82-2¹øÁö µ¿È­ºôµù  5Ãþ,207859.365742539,450548.737820935,37.5571292,127.0897363
245,±¤¸í ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 579-1¹øÁö µ¿¹æÇÁ¶óÀÚ ÁöÇÏ1Ãþ 101È£, 102È£",207092.481119161,452070.118445356,37.5707861,127.0810427
246,µå¸²Çï½ºÅ¬·´,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 113-7¹øÁö 2Ãþ,207980.954669792,450103.555182118,37.5531229,127.0911114
247,ÈÞ¸ÕÁü,¿µ¾÷/Á¤»ó,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 54-3¹øÁö 5Ãþ,6Ãþ",207942.617936322,449864.683570555,37.550952,127.0906036
248,±¤Áø±¸¹ÎÃ¼À°¼¾ÅÍ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 318¹øÁö,209343.001409181,449330.493519953,37.5462066,127.107902
249,µ¿¹æÇï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 579-1¹øÁö 2Ãþ203È£,207092.481119161,452070.118445356,37.5707793,127.0810381
250,¹Ùµð¸ÞÀÌÆ® Áü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 93-2 (4Ãþ),207778.116493941,450250.255643789,37.5545111,127.0888435
251,ÆÄ¿öÁ¸,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 78-3¹øÁö 2Ãþ,207724.594610866,450718.28191891,37.558668,127.0881952
252,´º±ÝÃµ ÈÖÆ®´Ï½º3,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 5-13,191919.012705941,440127.175851359,37.4632563,126.909601
253,¸¶À½À» ÀÐ¾îÁÖ´Â ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 1095 ÇÑ½Å»ó°¡ 4Ãþ,190140.258408311,439271.814994838,37.4564805,126.8880443
254,GoTo ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 890-4¹øÁö ÁöÇÏ1Ãþ,191257.611843222,438879.425058325,37.4519737,126.9022813
255,°ÅºÀ ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,"¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 1041-35¹øÁö 3,4Ãþ",191373.87073798,440333.277000272,37.465073,126.9032839
256,Å¸¿îÄÉÀÌ ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 636-10,206977.90755825,447726.461035191,37.5317699,127.0797123
257,ÀÌ·ç¾îÁü ±¸ÀÇÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 243-12 ½Ö¿ëºôµù2Ãþ,207787.040184372,448454.372697601,37.5382339,127.0888809
258,¸Æ½ºÅäÅ»ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ È­¾çµ¿ 6-2¹øÁö ¿¬ÇÑºôµù 6Ãþ,206131.315540787,448712.391439589,37.54046659999999,127.0701365
259,SAP,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±ºÀÚµ¿ 355¹øÁö,205976.633917423,449688.534404328,37.5494024,127.0684343
260,½Ã³ÊÁöÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ È­¾çµ¿ 21-2¹øÁö ÀÌ¼öºê¶ó¿î½ºÅæ2Ãþ,205988.468227018,449527.769210707,37.5479276,127.068489
261,ÈÖÆ®´Ï½ºÆÄÅ©,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±ºÀÚµ¿ 27-3¹øÁö ÁöÇÏ,206738.5345067,450123.409253788,37.5533068,127.0770686
262,¸Ó½½ H ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±ºÀÚµ¿ 103,206299.7504918,450037.825730524,37.5525781,127.0720356
263,»ó·ÏÇï½ºÅ©¸®´Ð,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 845-12¹øÁö 2Ãþ,205747.928011011,448347.256811813,37.5373064,127.0657685
264,½ºÆ÷Ã÷Å¬¸®´Ð¹ë·±½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±ºÀÚµ¿ 65-3¹øÁö,206561.85897884,450204.965754906,37.5540762,127.0750932
265,¸ÞÆ®·ÎÇï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 246-15¹øÁö,207359.077156309,448305.441351828,37.5369745,127.0840194
266,½ºÅ¸ÀÏÈÖÆ®´Ï½ºÅ¬·´(¹«´ÜÆó¾÷),¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 18-71¹øÁö,207619.069099222,451347.780303197,37.5643434,127.0870009
267,¾Æ¸Þ¸®Ä­ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 962-47¹øÁö,191389.242624397,441740.622288466,37.4777435,126.9033837
268,¸Ó½½Å·,¿µ¾÷/Á¤»ó,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 230-12 3, 4Ãþ",207066.550694407,451361.977710943,37.5644562,127.0807479
269,¾Æ¸§´Ù¿îÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 606-14¹øÁö ÁöÇÏ1Ãþ,206893.84345075,447758.903010754,37.5320448,127.078797
270,Á¦ÀÌÇÇÆ®ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ È­¾çµ¿ 527¹øÁö KCCÆÄÅ©Å¸¿îB1 ºñ04~06È£,206559.277117752,449368.957156903,37.5466501,127.075044
271,ÈÖÆ®´Ï½º Æ®¸®,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ´Éµ¿ 256-3¹øÁö ÁöÇÏ1Ãþ,207756.217759831,450076.132747496,37.5528996,127.0885702
272,(ÁÖ)±×¶û½Ã¶¼ ½ºÆ÷Ã÷,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 60-19¹øÁö SJ Å×Å©³ëºô B127È£,189722.178532426,441920.972770099,37.4793494,126.8845644
273,ÆÛÇÃÁü¾Ø¿ä°¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 1037-57¹øÁö,191219.606828111,440445.718302559,37.4661066,126.9015505
274,ºñÅ¸¹Î ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 291-5¹øÁö ½ÃÆ¼·º½º 3Ãþ,190858.649482406,440808.541334678,37.4693508,126.8974246
275,ÁÖ½ÄÈ¸»ç ´õ·¦½ºÈÖÆ®´Ï½º µ¶»ê,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 951-4 Çö°æºôµù,191389.027715691,441916.081648538,37.4794607,126.9033608
277,½ÃÆ¼Áü ±ºÀÚ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±ºÀÚµ¿ 346-23 ÁöÀåºôµù5Ãþ,206172.221312682,449744.93841498,37.5498972,127.0706225
278,¼¼Á¾ ³²¿©Çï½º(¹«´ÜÆó¾÷),¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 244-15¹øÁö,207829.560547452,448477.131348394,37.5384501,127.0893354
279,È­ÀÎÇï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 254-30¹øÁö,207374.479873781,448998.970907651,37.5432006,127.0842307
280,¸ö°¡Áü ÆÛ½º³ÎÆ®·¹ÀÌ´×,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ È­¾çµ¿ 225¹øÁö,206432.203835892,449440.652424753,37.5471648,127.0735513
281,Choi's Body Balance,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿,207650.154123032,448468.650826777,37.5466951,127.0914159
282,NX PT STUDIO,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 652-33¹øÁö,207210.410261585,447676.098948209,37.5312651,127.0823491
283,2MR ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ´Éµ¿ 283-15¹øÁö,206826.516479071,450178.536506659,37.5537982,127.0780347
284,ÈÖÆ®´Ï½º ¿¡ÀÌÄ¡Åõ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ È­¾çµ¿ 132-6¹øÁö,206161.393082977,449458.218401377,37.5473356,127.0705276
285,ÈÖÆ®´Ï½ºº£ÀÌ 24½Ã °Ç´ëÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ È­¾çµ¿ 113-1,206278.982112971,449425.131943862,37.54705209999999,127.071819
286,³ë°æ¿ì ÆÛ½º³Î Æ®·¹ÀÌ´×,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 199-6¹øÁö,208385.614875431,448722.952514146,37.5406379,127.0956739
287,BODY119(¹Ùµð119),¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 250¹øÁö,209194.595129323,449413.151252613,37.5468759,127.1047922
288,ºñ¹Ù ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 580-9¹øÁö,206568.236371191,447940.022480401,37.5336206,127.0750845
289,Á¦ÀÌ¹Ùµð¿÷½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 245-26¹øÁö,208004.282144849,448440.329980219,37.5382075,127.0912914
290,½ÃÈïÁ¡ ½ºÆ÷¾Ö´Ï (ÁÖ)ÄÉÀÌµð½ºÆ÷Ã÷,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 912-20 ¿¡º¥¿¡¼³ÇÁ¶óÀÚ 402È£,191917.450107657,438699.77460936,37.4504089,126.9098128
291,RSM ÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 327-29¹øÁö,189637.456694404,441016.253713253,37.4711011,126.8833883
292,¿ò Gym,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 543-1¹øÁö,189055.138252216,441958.334400683,37.4796508,126.8770822
293,¹ÙµðÃ¤³ÎÇÍ µ¶»êÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 1012-15,190938.885780384,440702.228171437,37.4683617,126.8984325
294,¿¡½º¹ÙµðÁü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 711-2¹øÁö ±ÝÃµÇö´ë¾ÆÆÄÆ®,190232.47138241,440016.250106997,37.4625204,126.8902608
295,³ª´ÙÇï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 553-376¹øÁö 3Ãþ,206011.728357801,447910.588323863,37.5333386,127.0687835
296,Ä¿ºê½º±¸ÀÇÅ¬·´,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 200-20¹øÁö 3Ãþ,208324.939444793,448746.466638461,37.5408734,127.0949588
297,¸¶Å©Áü ÈÖÆ®´Ï½º - °­º¯¿ªÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 593-15¹øÁö 5Ãþ,207995.95709474,448085.242458867,37.5348617,127.0912641
298,¿ø¸ð¾î ÆÛ½º³ÎÆ®·¹ÀÌ´× ½ºÆ©µð¿À,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±ºÀÚµ¿ 373-8¹øÁö 3Ãþ,206369.212427896,449543.172023494,37.5480765,127.0728497
299,³­°îÁ¡ ½ºÆ÷¾Ö´Ï (ÁÖ)ÄÉÀÌµð½ºÆ÷Ã÷,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ µ¶»êµ¿ 901-7 Áö¿ÀÇÁ¶óÀÚ 6Ãþµ¿,191911.448935236,442043.878227727,37.4805467,126.9094278
300,½¬¸® ¿©¼ºÀü¿ë Çï½ºÅ¬·´,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 896-15¹øÁö,191589.19755097,438843.804103137,37.4516855,126.9057466
301,ÁöºñÈÖÆ®´Ï½º¹®È­¼¾ÅÍ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 150-2 ½ÅÆò´ëÀÏÅ¸¿î 6Ãþ,190498.32738704,441516.527946049,37.4757323,126.8933272
302,ºêÀÌ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ ½ÃÈïµ¿ 852-55,191529.779194993,439565.772452126,37.4581964,126.9050617
303,ÇÁ¶óÀÓÇï½ºÅ¬·´,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 219-5¹øÁö (4Ãþ),208096.18382136,448575.80113761,37.5393304,127.0923776
305,¾ÆÂ÷»êÇï½ºÅ¬·´,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 31-23¹øÁö,208185.254777532,450096.88445853,37.5530647,127.0933881
306,±ºÀÚÈÖÆ®´Ï½º Å©·´,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±ºÀÚµ¿ 466-18¹øÁö (3Ãþ),206557.018731518,450697.895343093,37.5584804,127.0749754
307,¼ø¼ö¿©¼ºÇï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 425-2¹øÁö ÁöÃþ,208604.847723243,448881.571583897,37.542102,127.0981299
308,ÆÄ³ª¸¶ Çï½ºÅ¬·´,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¸ÀÇµ¿ 249-21¹øÁö ¿¬ÀÌºôµù 2Ãþ 201È£,207507.758720831,448816.731921435,37.5415245,127.0857211
309,¹ÙµðÆÛÆ÷¸Õ½ºÁü ±¤ÀåÁ¡,¿µ¾÷/Á¤»ó,"¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 484¹øÁö ÁöÇÏ1,2Ãþ",208644.819209521,448711.725750126,37.5406764,127.098826
310,±¤ÁøÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 44-2¹øÁö 2Ãþ,205663.081069121,448250.363358949,37.5364146,127.0647771
311,´ë¿øÇï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 173-2¹øÁö,207176.529121066,451719.329086886,37.5676666,127.0820227
312,¹Ùµð¾Ø¼Ò¿ï,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±ºÀÚµ¿ 64-1¹øÁö 2Ãþ,206506.185332504,450212.320413111,37.5570611,127.0779504
313,¿¤¸®Æ®Áü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 680-68,207391.330183096,448120.785876892,37.5353242,127.0844198
314,¸®¹ö»çÀÌµå ½ºÆ÷Ã÷,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ±¤Àåµ¿ 114 ¿Ü2ÇÊÁö ÁöÇÏ1Ãþ,209637.078215509,449832.485937903,37.5507169,127.1098899
315,¿ë°îÃ¼À°°ü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ Áß°îµ¿ 28-7¹øÁö,207588.020825128,451260.460692259,37.5635558,127.0866291
316,À¯ÁøÇï½ºÅ¬·´,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 610-9¹øÁö,206645.876190049,447900.666026431,37.5332731,127.0759397
317,¼­¿ïÇï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±¤Áø±¸ ÀÚ¾çµ¿ 623-23¹øÁö,207086.894270771,447990.975919066,37.5341016,127.0809543
318,Áß¾ÓÇï½ºÅ¬·´,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ±ÝÃµ±¸ °¡»êµ¿ 151-30,190481.242450103,441556.382011728,37.4760881,126.8931252
