¹øÈ£,»ç¾÷Àå¸í,¿µ¾÷»óÅÂ¸í,¼ÒÀçÁöÀüÃ¼ÁÖ¼Ò,ÁÂÇ¥Á¤º¸(x),ÁÂÇ¥Á¤º¸(y),lat,lng
5939,¿©¿ì°ø°£ ÇÊ¶óÅ×½º(½ÅÃÌÁ¡),¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ³ë°í»êµ¿ 31-90¹øÁö ½ÅÃÌ¸£¸ÞÀÌ¿¡¸£Å¸¿îII,194407.018454163,450130.918973931,37.5564243,126.9400291
5943,PT Lab Bangbae,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¹æ¹èµ¿ 858-34¹øÁö ¼®È£ºôµù,198932.075408202,442814.323336266,37.4874613,126.9887485
5947,J.J GYM,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã µ¿ÀÛ±¸ ³ë·®Áøµ¿ 71-2¹øÁö ÀÌµ¥¾Æºôµù,194812.59305916,445692.62623807,37.51342959999999,126.9421412
5949,ÇÇÆ®´Ï½ºÅ¥,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¸¶Æ÷±¸ ¼­±³µ¿ 380-14 NFMºôµù,192488.58186833,450000.568613644,37.552206,126.9157611
5954,P.E.M Korea,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­µ¿±¸ ¼º³»µ¿ 439-24,211754.848216448,446939.60892172,37.5245774,127.1337594
5966,¿¡³ÊÁü,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ °øÇ×µ¿ 32-3 ÁöÇÏ1Ãþ,183280.682239227,450983.093101522,37.5609154,126.8115721
5977,¿¡ÀÌºíÁü ÇÑ¾ç´ëÁ¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ºµ¿±¸ Çà´çµ¿ 12-5 ¹ÌÁøºôµù,203598.117829849,450893.666054961,37.5478162,127.0522128
5978,¹ÝÆ÷ÈÖÆ®´Ï½º»ç¿ì³ª,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¹ÝÆ÷µ¿ 724-38,201856.339308867,445026.123453703,37.5074066,127.0217628
5979,±³´ë¿ªÁ¡ ½ºÆ÷¾Ö´Ï (ÁÖ)ÄÉÀÌµð½ºÆ÷Ã÷,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¼­ÃÊµ¿ 1671-2,201225.005732449,443457.430760864,37.4932801,127.014626
5982,·Î±×Áü ÇÐµ¿Á¡,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­³²±¸ ³íÇöµ¿ 39-20,202413.749980215,445761.483091564,37.5140401,127.028091
5985,¿Ãµ¥ÀÌ,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã °­¼­±¸ È­°îµ¿ 339-23 3Ãþ,186413.899598591,447999.732886007,37.53407869999999,126.8470537
5986,(ÁÖ)¹Ùµð½ºÅ¸,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼­ÃÊ±¸ ¹ÝÆ÷µ¿ 19-4 °­³²°í¼Ó¹ö½ºÅÍ¹Ì³Î,200554.74395758,444811.364826199,37.5054942,127.006719
5992,ARÈÖÆ®´Ï½º,¿µ¾÷/Á¤»ó,¼­¿ïÆ¯º°½Ã ¼ÛÆÄ±¸ °Å¿©µ¿ 566,212699.322906961,443365.370620906,37.49236260000001,127.1443453
